@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.801268,1 -0.091562,2 -0.187627,3 0.04244,4 -0.94581,5 0.021974,6 -0.7376,7 0.659172,8 -0.010302,9 -0.077977,10 4}
{0 -0.797394,1 -0.142032,2 -0.302296,3 -0.05735,4 -0.949172,5 0.046905,6 -0.794721,7 0.721694,8 -0.018079,9 -0.092132,10 4}
{0 -0.798855,1 -0.024672,2 -0.27452,3 0.020619,4 -0.938859,5 -0.208427,6 -0.734669,7 0.652415,8 -0.050303,9 -0.126294,10 4}
{0 -0.785414,1 -0.056696,2 -0.253928,3 0.01622,4 -0.942266,5 -0.264656,6 -0.741291,7 0.658791,8 -0.037633,9 -0.11475,10 4}
{0 -0.836063,1 0.026193,2 -0.181958,3 0.11086,4 -0.935529,5 -0.501127,6 -0.66786,7 0.572171,8 -0.093936,9 -0.160242,10 4}
{0 -0.817488,1 -0.284328,2 -0.5147,3 -0.265938,4 -0.957574,5 -0.078406,6 -0.882858,7 0.839542,8 -0.022376,9 -0.103097,10 4}
{0 -0.808978,1 -0.240141,2 -0.364611,3 -0.134764,4 -0.955822,5 0.004757,6 -0.814226,7 0.748673,8 -0.069979,9 -0.144735,10 4}
{0 -0.794188,1 -0.136206,2 -0.311877,3 -0.061813,4 -0.948887,5 -0.064862,6 -0.775538,7 0.69962,8 -0.078737,9 -0.146721,10 4}
{0 -0.756832,1 -0.244299,2 -0.33793,3 -0.115111,4 -0.955354,5 0.067735,6 -0.778319,7 0.709332,8 -0.117089,9 -0.187971,10 4}
{0 -0.812982,1 -0.231649,2 -0.38781,3 -0.1505,4 -0.954985,5 0.004054,6 -0.819086,7 0.764181,8 -0.069945,9 -0.131913,10 4}
{0 -0.528781,1 0.774546,2 -0.975297,3 0.507827,4 -0.932443,5 -1,6 -0.187127,7 -0.138689,8 -0.35271,9 -0.415527,10 5}
{0 -0.10101,1 0.778588,2 -0.980891,3 0.511072,4 -0.932665,5 -1,6 -0.039351,7 -0.581412,8 -0.439793,9 -0.515703,10 5}
{0 -0.315077,1 0.822744,2 -0.987192,3 0.572131,4 -0.885198,5 -1,6 0.043553,7 -0.623811,8 -0.523611,9 -0.588217,10 5}
{0 -0.465895,1 0.85519,2 -0.988142,3 0.618659,4 -0.933496,5 -1,6 -0.044673,7 -0.507751,8 -0.431123,9 -0.492851,10 5}
{0 -0.039596,1 0.740306,2 -0.958477,3 0.466572,4 -0.905026,5 -1,6 -0.020496,7 -0.545499,8 -0.463256,9 -0.531555,10 5}
{0 -0.515593,1 0.85451,2 -0.980559,3 0.620973,4 -0.930037,5 -1,6 -0.073055,7 -0.459247,8 -0.425396,9 -0.477185,10 5}
{0 -0.188694,1 0.807999,2 -0.958554,3 0.563729,4 -0.903192,5 -1,6 0.086658,7 -0.634111,8 -0.443172,9 -0.507431,10 5}
{0 -0.341821,1 0.834717,2 -0.984948,3 0.590409,4 -0.93397,5 -1,6 0.105056,7 -0.749669,8 -0.58121,9 -0.639963,10 5}
{0 -0.188311,1 0.802333,2 -0.955367,3 0.557072,4 -0.874228,5 -1,6 0.172184,7 -0.750356,8 -0.536519,9 -0.593126,10 5}
{0 -0.125674,1 0.798142,2 -0.95837,3 0.549652,4 -0.903025,5 -1,6 0.195965,7 -0.820445,8 -0.526372,9 -0.585666,10 5}
{0 -0.209752,1 0.817622,2 -0.955632,3 0.578898,4 -0.878795,5 -1,6 0.189058,7 -0.787905,8 -0.527213,9 -0.576559,10 5}
{0 -0.15785,1 0.815439,2 -0.968575,3 0.569931,4 -0.898447,5 -1,6 0.231642,7 -0.877486,8 -0.526214,9 -0.588614,10 5}
{0 -0.223257,1 0.815206,2 -0.962816,3 0.57217,4 -0.905518,5 -1,6 0.25245,7 -0.888724,8 -0.587724,9 -0.64763,10 5}
{0 -0.183702,1 0.807239,2 -0.935479,3 0.573069,4 -0.874858,5 -1,6 0.241135,7 -0.881572,8 -0.555783,9 -0.606504,10 5}
{0 -0.290698,1 0.838926,2 -0.968171,3 0.603951,4 -0.901635,5 -1,6 0.265032,7 -0.887636,8 -0.566659,9 -0.624129,10 5}
{0 -0.349431,1 0.852362,2 -0.965556,3 0.624486,4 -0.868703,5 -1,6 0.221035,7 -0.853432,8 -0.558671,9 -0.605481,10 5}
{0 -0.304957,1 0.850445,2 -0.967753,3 0.620735,4 -0.901402,5 -1,6 0.222776,7 -0.870617,8 -0.532864,9 -0.586234,10 5}
{0 -0.35312,1 0.84704,2 -0.966202,3 0.616533,4 -0.875329,5 -1,6 0.150891,7 -0.736235,8 -0.526304,9 -0.574094,10 5}
{0 -0.326445,1 0.842211,2 -0.957345,3 0.613468,4 -0.872926,5 -1,6 0.184852,7 -0.788219,8 -0.545034,9 -0.587564,10 5}
{0 -0.13102,1 -0.20993,2 -0.578316,3 -0.305252,4 -0.954345,5 -0.390302,6 -0.746569,7 0.6775,8 -0.080351,9 -0.098023,10 6}
{0 -0.067898,1 -0.22795,2 -0.384331,3 -0.147401,4 -0.955915,5 -0.31651,6 -0.659834,7 0.539147,8 -0.130555,9 -0.135464,10 6}
{0 -0.116227,1 -0.226552,2 -0.290307,3 -0.076629,4 -0.955748,5 -0.627404,6 -0.646478,7 0.52938,8 -0.103623,9 -0.10156,10 6}
{0 -0.066434,1 -0.219945,2 -0.316738,3 -0.094455,4 -0.955772,5 -0.44727,6 -0.629287,7 0.496352,8 -0.153988,9 -0.146428,10 6}
{0 -0.279955,1 -0.052413,2 -0.313411,3 -0.021784,4 -0.94241,5 -0.57034,6 -0.627946,7 0.50937,8 -0.175449,9 -0.198965,10 6}
{0 -0.001572,1 -0.260911,2 -0.350847,3 -0.12901,4 -0.957611,5 -0.599897,6 -0.61299,7 0.469838,8 -0.189925,9 -0.183172,10 6}
